=== 农田灌溉用水异常分析报告 ===
生成时间,2026-06-09T18:10:49.694295
规则版本,1.0.0

汇总统计
异常总数,14

异常ID,异常代码,异常类型,描述,地块编号,地块名称,严重程度,规则版本,阈值方案,批次号,检测时间,是否复核,复核结果,是否误报,复核备注,复核次数,撤销次数,最近复核人,最近复核时间,历史备注,扩展信息
14,OVER_PLAN,超计划用水,地块 P001 2025年6月超计划用水: 实际用水 110.00方，计划 50.00方，超计划 120.0%,P001,东一号地块,high,1.0.0,default,BATCH20260609180954C678,2026-06-09T18:09:56.365707,是,valid,否,"导出测试：确认有效
导出测试：追加备注",6,0,export_test,2026-06-09T18:10:45,导出测试：追加备注; 导出测试：确认有效; 追加备注_1780999836; 持久化测试_1780999834; 追加备注：需要进一步核实水表读数; 首次复核：确认异常有效,"{""year"": 2025, ""month"": 6, ""plan_water"": 50.0, ""actual_usage"": 110.0, ""ratio"": 2.2, ""over_ratio"": 1.2, ""first_reading"": 100.0, ""last_reading"": 210.0, ""first_datetime"": ""2025-06-01T08:00:00"", ""last_datetime"": ""2025-06-15T08:00:00"", ""ratio_threshold"": 1.2}"
13,MISSING_READING,漏采,地块 P003 存在漏采: 2025-06-02 10:00:00 至 2025-06-04 16:00:00 间隔 54.0 小时，超过阈值 25.0 小时,P003,南三号地块,medium,1.0.0,default,BATCH20260609180954C678,2026-06-09T18:09:56.365229,是,needs_investigation,否,"初始复核：标记为误报
修改状态：需要进一步调查",1,1,tester_a,2026-06-09T18:10:08,初始复核：标记为误报,"{""gap_hours"": 54.0, ""max_allowed_hours"": 25.0, ""prev_datetime"": ""2025-06-02T10:00:00"", ""curr_datetime"": ""2025-06-04T16:00:00"", ""missing_from"": ""2025-06-03T11:00:00"", ""missing_to"": ""2025-06-04T16:00:00""}"
12,MISSING_READING,漏采,地块 P001 存在漏采: 2025-06-05 08:00:00 至 2025-06-11 08:00:00 间隔 144.0 小时，超过阈值 25.0 小时,P001,东一号地块,medium,1.0.0,default,BATCH20260609180954C678,2026-06-09T18:09:56.364632,是,valid,否,"第一轮：确认有效
第二轮：改为误报
第三轮：需要调查
第四轮：再次确认为有效",3,1,user4,2026-06-09T18:10:29,第四轮：再次确认为有效; 第二轮：改为误报; 第一轮：确认有效,"{""gap_hours"": 144.0, ""max_allowed_hours"": 25.0, ""prev_datetime"": ""2025-06-05T08:00:00"", ""curr_datetime"": ""2025-06-11T08:00:00"", ""missing_from"": ""2025-06-06T09:00:00"", ""missing_to"": ""2025-06-11T08:00:00""}"
11,METER_BACKWARD,倒表,地块 P002 发现倒表现象: 2025-06-04 09:00:00 读数 180.0 小于 2025-06-03 09:00:00 读数 206.0，差值 -26.00,P002,西二号地块,high,1.0.0,default,BATCH20260609180954C678,2026-06-09T18:09:56.364161,否,,否,,0,0,,,,"{""prev_reading"": 206.0, ""curr_reading"": 180.0, ""prev_datetime"": ""2025-06-03T09:00:00"", ""curr_datetime"": ""2025-06-04T09:00:00"", ""difference"": -26.0}"
10,DUPLICATE_REPORT,重复上报,重复上报: 第21行 重复上报: 地块 P004 在 2025-06-02 11:00:00 的读数已存在,P004,北四号地块,medium,1.0.0,default,BATCH20260609180954C678,2026-06-09T18:09:56.363679,否,,否,,0,0,,,,"{""source_row"": 21, ""error"": ""第21行 重复上报: 地块 P004 在 2025-06-02 11:00:00 的读数已存在""}"
9,READING_CONFLICT,读数冲突,"读数冲突: 第22行 [水表读数] 同一地块同一时刻读数冲突: 已有读数=400.0, 当前读数=410.0",P004,北四号地块,high,1.0.0,default,BATCH20260609180954C678,2026-06-09T18:09:56.363222,否,,否,,0,0,,,,"{""source_row"": 22, ""error"": ""第22行 [水表读数] 同一地块同一时刻读数冲突: 已有读数=400.0, 当前读数=410.0""}"
8,INVALID_DATE,日期格式错误,"日期格式错误: 第25行 [读数日期] 日期格式错误: '2025-13-01'，支持的格式: YYYY-MM-DD, YYYY/MM/DD",,,medium,1.0.0,default,BATCH20260609180954C678,2026-06-09T18:09:56.362776,否,,否,,0,0,,,,"{""source_row"": 25, ""error"": ""第25行 [读数日期] 日期格式错误: '2025-13-01'，支持的格式: YYYY-MM-DD, YYYY/MM/DD""}"
7,MISSING_PARCEL_ID,缺少地块编号,缺少地块编号，第24行数据未提供有效地块编号,,,high,1.0.0,default,BATCH20260609180954C678,2026-06-09T18:09:56.362331,否,,否,,0,0,,,,"{""source_row"": 24}"
6,INVALID_REFERENCE,引用不存在地块,引用不存在的地块 'P888',P888,P888,high,1.0.0,default,BATCH20260609180954C678,2026-06-09T18:09:56.361889,否,,否,,0,0,,,,"{""source_row"": 26, ""parcel_id"": ""P888""}"
5,INVALID_REFERENCE,引用不存在地块,引用不存在的地块 'P999',P999,P999,high,1.0.0,default,BATCH20260609180954C678,2026-06-09T18:09:56.361434,否,,否,,0,0,,,,"{""source_row"": 23, ""parcel_id"": ""P999""}"
